nom_site;centroid
Alpage de Couesto;{"type":"Point","coordinates":[6.70314953475636,44.1897035946932]}
Cime de la Garde;{"type":"Point","coordinates":[7.48324119633014,44.1203005937268]}
Col d'Allos;{"type":"Point","coordinates":[6.59228274532606,44.2972449127273]}
Col de la Cayolle;{"type":"Point","coordinates":[6.73898139306511,44.2610108428694]}
Col des Trente Souches;{"type":"Point","coordinates":[6.81000965970724,44.1861042285192]}
Col du Sabion;{"type":"Point","coordinates":[7.47582703538328,44.1272907669963]}
Encombrette;{"type":"Point","coordinates":[6.70702821191083,44.213254106972]}
Escuzier, Sagnas, Colombart;{"type":"Point","coordinates":[6.8120347810554,44.3083044292847]}
Estrop;{"type":"Point","coordinates":[6.79971513642573,44.2198429921526]}
Gialorgues;{"type":"Point","coordinates":[6.82001349345338,44.2343644298892]}
Isola 2000;{"type":"Point","coordinates":[7.16700678064493,44.1813443649071]}
Lac Allos;{"type":"Point","coordinates":[6.70279685415819,44.2385574433134]}
Lac de la Fous;{"type":"Point","coordinates":[7.4015580135479,44.1015813477361]}
Lac des Grenouilles;{"type":"Point","coordinates":[7.48392739551036,44.0985325537902]}
Lacs de Lignin;{"type":"Point","coordinates":[6.70312445920798,44.1038983362004]}
Lacs et plan de Prals;{"type":"Point","coordinates":[7.37395386109466,44.0798204190294]}
Lac Vert de Fontanalbe et lacs Gias Pasteur;{"type":"Point","coordinates":[7.46882147796064,44.0862336033527]}
Lançonnet;{"type":"Point","coordinates":[6.65479865374535,44.1417844692891]}
La Sagne;{"type":"Point","coordinates":[6.96636692200402,44.087762804122]}
Les Launes;{"type":"Point","coordinates":[6.95810537174428,44.0922932889435]}
Les Pelats;{"type":"Point","coordinates":[6.83447221603543,44.3353024696951]}
Madone de Fenestre;{"type":"Point","coordinates":[7.35698675999211,44.0943184491733]}
Marécages des Ricauds;{"type":"Point","coordinates":[6.72851637501001,44.313156873816]}
Merveilles;{"type":"Point","coordinates":[7.45495030530858,44.0579294824858]}
Millefonts;{"type":"Point","coordinates":[7.18723149955927,44.1094341647321]}
Muletiers;{"type":"Point","coordinates":[6.69272728808218,44.1965382949516]}
Orrenaye;{"type":"Point","coordinates":[6.9228042847271,44.4319681425927]}
Parassac;{"type":"Point","coordinates":[6.86101930748542,44.3976975938101]}
Plateau de la Céva;{"type":"Point","coordinates":[7.49661042330091,44.0206368221943]}
Restefond;{"type":"Point","coordinates":[6.79909733420177,44.3277224803003]}
Rouchouse;{"type":"Point","coordinates":[6.89215313188385,44.4605771187308]}
Sagnes, Trécolpas;{"type":"Point","coordinates":[7.33303100518337,44.128073163912]}
Sallevieille;{"type":"Point","coordinates":[6.94003506558982,44.1634385941571]}
Salso-Moreno;{"type":"Point","coordinates":[6.90298570913307,44.3410607411993]}
Sanguinière;{"type":"Point","coordinates":[6.77490766537169,44.2840764777885]}
Station à Typha minima, Confluence Bachelard/Ubaye;{"type":"Point","coordinates":[6.62082002742442,44.3848169853824]}
Suintements sous la baisse de St Véran;{"type":"Point","coordinates":[7.42251557628012,44.0193673723302]}
Ténibre;{"type":"Point","coordinates":[6.95395623141587,44.2838970093434]}
Vallon de Fontanalbe : stations à Drosera rotundifolia;{"type":"Point","coordinates":[7.47958610237313,44.0910509024452]}
Vallon de la Braisse;{"type":"Point","coordinates":[6.81519040004496,44.2904716942811]}
Vallon de la Braissette;{"type":"Point","coordinates":[6.78443927669117,44.3085591018216]}
Vallon de l'Alpe;{"type":"Point","coordinates":[6.83637112946186,44.3158804164111]}
Vallon de Mollières et Graveirette;{"type":"Point","coordinates":[7.2302005406267,44.1514466768907]}
Vallon des Graus;{"type":"Point","coordinates":[7.38931045125072,44.0326782130927]}
Vallon du Ciot;{"type":"Point","coordinates":[7.52095771983929,44.0451116747278]}
Vallon du Lauzanier;{"type":"Point","coordinates":[6.88277969973046,44.4101458183878]}
